"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex","NACount"
"1","Afghanistan",64.6272855133615,93.3546262596251,6.66666666666666,22.7848101265823,17.8082191780822,29.2410714285714,17.4603174603175,4.47761194029851,35.7142857142857,3.19148936170212,18.118948824343,69.9256666546386,92.5373134328358,25,65.814696485623,0
"3","Albania",100,99.678130183961,66.9047619047619,56.4556962025316,42.9223744292237,60.2678571428571,42.4036281179138,22.1393034825871,98.9795918367347,64.3617021276596,71.2309820193638,42.3303142929311,89.7014925373134,25,64.1817536386227,0
"4","Algeria",99.3539029535865,97.8162370942583,37.6190476190476,32.9113924050633,36.7579908675799,29.6875,39.9092970521542,28.1094527363184,98.9795918367347,18.6170212765958,39.5573997233748,35.3035278268923,73.8557213930348,25,73.1984380546681,0
"7","Angola",100,96.4297209636287,56.6666666666667,27.0886075949367,21.689497716895,32.8125,26.3038548752834,7.21393034825871,34.6938775510204,4.25531914893617,NA,84.5914673017477,55.6218905472637,25,76.6063187788427,12.5
"9","Antigua and Barbuda",100,NA,88.8095238095238,71.8987341772152,61.4155251141553,69.6428571428571,74.8299319727891,72.1393034825871,NA,53.1914893617021,NA,24.9846642370007,NA,50,NA,62.5
"10","Argentina",100,95.6522815618114,66.9047619047619,61.5189873417721,43.8356164383562,34.1517857142857,38.7755102040816,28.6069651741294,100,34.5744680851064,72.4757952973721,52.8362140511673,53.3582089552239,50,87.2204472843451,0
"11","Armenia",100,99.8712520735844,67.1428571428571,40.253164556962,52.0547945205479,61.3839285714286,48.2993197278912,28.3582089552239,100,76.5957446808511,45.5048409405256,57.4814467337832,86.3681592039801,25,78.2392616258431,0
"13","Australia",100,99.524623040927,89.7619047619048,91.8987341772152,87.4429223744292,96.2053571428572,95.0113378684807,83.8308457711443,100,95.2127659574468,64.1770401106501,31.3853907311851,77.1393034825871,100,86.3329783457579,0
"14","Austria",100,99.9034390551883,97.3809523809524,92.4050632911392,86.3013698630137,89.2857142857143,96.8253968253968,77.6119402985074,100,89.3617021276596,34.8547717842324,21.8230914492597,87.0149253731343,100,87.5754348597799,0
"15","Azerbaijan",100,99.2398920498155,55.7142857142857,21.2658227848101,39.9543378995434,46.6517857142857,40.1360544217687,17.6616915422886,93.8775510204082,57.9787234042553,NA,95.8593439901851,79.5771144278607,25,78.8427405040824,12.5
"16","Bahamas",100,99.9331501151304,92.1428571428571,78.4810126582278,70.0913242009132,59.8214285714286,68.9342403628118,73.8805970149254,NA,48.936170212766,NA,14.7199268694596,NA,25,85.4100106496273,37.5
"17","Bahrain",100,99.9529574884251,33.5714285714286,22.0253164556962,63.6986301369863,69.6428571428571,63.265306122449,51.2437810945274,NA,72.3404255319149,37.6210235131397,47.1547649117743,NA,75,93.9652112176074,25
"18","Bangladesh",100,93.5081334026591,27.1428571428571,44.8101265822785,31.7351598173516,35.4910714285714,36.5079365079365,17.910447761194,29.5918367346939,8.51063829787235,28.3540802213001,52.4260575662445,81.8407960199005,25,31.5228966986155,0
"19","Barbados",100,99.9702889400579,96.1904761904762,85.3164556962025,81.2785388127854,65.8482142857143,78.0045351473923,80.0995024875622,NA,44.1489361702128,62.2406639004149,19.4722091918354,NA,50,95.9886403975861,25
"20","Belarus",100,99.4973879026468,64.7619047619048,16.4556962025316,28.9954337899543,31.9196428571429,35.1473922902494,27.1144278606965,100,70.2127659574468,NA,55.6495748084533,95.9203980099502,25,89.2083777067803,12.5
"21","Belgium",100,99.7350763821833,87.3809523809524,90.126582278481,86.7579908675799,85.0446428571428,87.0748299319728,80.5970149253731,100,78.1914893617021,58.6445366528354,20.0904509315724,79.3034825870647,100,88.1789137380192,0
"22","Belize",100,99.8638243085989,69.5238095238095,73.1645569620253,46.1187214611872,45.3125,45.124716553288,40.547263681592,94.8979591836735,37.7659574468085,88.1051175656985,34.0351700164784,29.5771144278607,25,76.8903088391906,0
"23","Benin",100,98.6308153210032,72.1428571428571,58.4810126582278,37.8995433789954,46.875,41.0430839002268,19.4029850746269,79.5918367346939,20.2127659574468,17.1507607192254,37.3849817775051,53.4577114427861,0,59.7444089456869,0
"24","Bermuda",100,NA,89.047619047619,81.7721518987342,73.2876712328767,85.4910714285714,81.1791383219955,72.1393034825871,NA,NA,NA,NA,NA,NA,NA,100
"25","Bhutan",100,99.9653370967343,84.5238095238095,50.8860759493671,58.675799086758,31.6964285714286,60.7709750566893,60.4477611940299,100,34.0425531914894,NA,65.5348272170702,65.3980099502488,25,72.4884629037984,12.5
"26","Bolivia, Plurinational State of",100,97.7419594444032,57.1428571428571,52.9113924050633,41.324200913242,38.6160714285714,31.0657596371882,25.3731343283582,75.5102040816327,17.0212765957447,57.2614107883817,40.191727107615,45.7213930348259,25,82.392616258431,0
"28","Bosnia and Herzegovina",100,99.9108668201738,56.6666666666667,51.3924050632911,40.1826484018265,54.4642857142857,51.4739229024943,34.5771144278607,100,43.6170212765957,NA,32.3963482841988,79.5522388059701,50,78.2747603833866,12.5
"29","Botswana",100,99.4280620961153,90.7142857142857,67.3417721518987,56.8493150684932,70.9821428571428,68.7074829931973,62.9353233830846,71.4285714285714,61.1702127659574,68.1881051175657,41.7307160297814,11.3432835820895,50,80.937167199148,0
"30","Brazil",100,4.71415484414074,58.8095238095238,64.8101265822785,48.6301369863014,57.8125,52.6077097505669,37.0646766169154,92.8571428571429,36.7021276595745,55.0484094052559,35.1201000733711,30.7213930348259,25,85.0195243166489,0
"31","Brunei Darussalam",100,99.9925722350145,91.1904761904762,42.7848101265823,70.0913242009132,80.8035714285714,69.1609977324263,57.9601990049751,NA,46.8085106382979,46.7496542185339,21.1615487316422,NA,75,42.6695065672701,25
"32","Bulgaria",100,99.7276486171978,69.7619047619048,63.5443037974683,53.8812785388128,67.8571428571428,52.1541950113379,32.8358208955224,100,80.3191489361702,66.3900414937759,33.4758657188564,76.4676616915423,50,85.3390131345403,0
"33","Burkina Faso",100,97.8187130159202,47.6190476190476,48.1012658227848,36.3013698630137,52.4553571428571,43.3106575963719,25.6218905472637,76.530612244898,11.7021276595745,NA,50.6092207026786,62.7860696517413,0,66.1341853035144,12.5
"34","Burundi",100,98.6605263809453,34.5238095238095,30.8860759493671,26.027397260274,36.8303571428571,31.2925170068027,5.4726368159204,74.4897959183673,19.6808510638298,20.0553250345781,33.7284547564921,78.9800995024875,25,62.6908058217962,0
"35","Cabo Verde",100,99.985144470029,84.7619047619048,78.2278481012658,53.1963470319635,53.5714285714286,66.2131519274376,59.2039800995025,90.8163265306122,35.6382978723404,NA,44.2439769542573,52.7363184079602,NA,63.6492722754704,25
"36","Cambodia",100,98.4401693530417,61.6666666666667,30.6329113924051,29.4520547945205,48.4375,32.8798185941043,14.9253731343284,61.2244897959184,28.7234042553192,32.5034578146611,64.6351291211104,82.5870646766169,25,39.5101171458999,0
"37","Cameroon",100,97.2343955037263,53.0952380952381,29.1139240506329,30.8219178082192,35.4910714285714,31.5192743764172,10.4477611940299,60.2040816326531,16.4893617021277,40.5255878284924,35.1712192833688,60.4477611940299,25,60.5253816116436,0
"38","Canada",100,98.9922998836317,90,92.4050632911392,90.8675799086758,94.4196428571429,94.7845804988662,86.5671641791045,100,92.0212765957447,62.9322268326418,24.4470104283188,77.9601990049751,100,89.1373801916933,0
"40","Central African Republic",99.5428973277075,99.1383792616802,14.2857142857143,16.7088607594937,9.81735159817351,31.0267857142857,13.8321995464853,14.1791044776119,60.2040816326531,1.06382978723404,17.5656984785615,25.1584695509929,21.6915422885572,0,76.2158324458644,0
"41","Chad",100,98.450073039689,39.2857142857143,20.506329113924,16.2100456621005,33.4821428571429,24.2630385487528,8.2089552238806,14.2857142857143,2.12765957446808,NA,68.3325515101216,54.0298507462687,0,60.2413915512957,12.5
"42","Chile",100,98.9304018420857,74.2857142857143,83.0379746835443,78.9954337899543,89.2857142857143,85.7142857142857,77.8606965174129,98.9795918367347,78.7234042553192,58.3679114799447,42.4211260659859,35.273631840796,75,60.1703940362087,0
"43","China",100,74.7678823442026,52.3809523809524,15.4430379746835,49.7716894977169,49.3303571428571,44.8979591836735,31.3432835820896,NA,52.6595744680851,51.7289073305671,79.3213774522186,69.6714547977602,25,75.7898473553426,12.5
"44","Colombia",99.3846694796062,73.4506920201045,35.2380952380952,52.4050632911392,51.3698630136986,64.9553571428571,45.124716553288,29.1044776119403,96.9387755102041,82.4468085106383,46.4730290456432,43.1452146405417,28.5820895522388,25,76.038338658147,0
"45","Comoros",100,99.8935353685409,59.7619047619048,42.2784810126582,17.5799086757991,28.125,32.8798185941043,21.8905472636816,86.734693877551,15.9574468085106,NA,25.0796858273494,1.79104477611941,25,73.8729144479943,12.5
"46","Congo",100,99.1284755750328,54.2857142857143,27.0886075949367,22.6027397260274,25.8928571428571,30.6122448979592,10.4477611940299,90.8163265306122,5.85106382978724,33.8865836791148,41.3313847893287,61.8159203980099,0,73.553425630103,0
"47","Congo, the Democratic Republic of the",93.5302390998594,69.3852286513655,12.3809523809524,18.2278481012658,14.1552511415525,27.6785714285714,20.1814058956916,7.71144278606965,26.530612244898,2.65957446808511,17.7040110650069,14.9665018823897,51.2189054726368,0,NA,12.5
"49","Costa Rica",100,99.1978013815643,81.4285714285714,82.0253164556962,61.1872146118722,69.1964285714286,66.6666666666667,54.726368159204,100,56.3829787234043,54.2185338865837,43.7652605876905,40.8208955223881,NA,38.7646432374867,12.5
"50","Cote d'Ivoire",100,95.5705761469707,40.4761904761905,35.9493670886076,26.7123287671233,39.9553571428571,34.2403628117914,20.3980099502488,64.2857142857143,22.3404255319149,26.417704011065,15.9058925414066,54.3034825870647,0,67.3056443024494,0
"51","Croatia",100,99.9133427418356,80,67.3417721518987,66.2100456621005,66.0714285714286,61.2244897959184,42.7860696517413,NA,65.9574468085106,72.8907330567082,19.8438759186423,78.134328358209,75,85.0905218317359,12.5
"52","Cuba",100,99.1978013815643,74.2857142857143,20,40.4109589041096,20.0892857142857,41.0430839002268,43.0348258706468,100,NA,56.4315352697095,NA,NA,25,77.4937877174299,37.5
"54","Cyprus",100,99.9826685483671,77.8571428571428,80,81.2785388127854,76.5625,78.0045351473923,70.8955223880597,100,66.4893617021277,61.8257261410788,20.7706371257773,NA,75,90.4863329783458,12.5
"55","Czech Republic",100,99.8044021887147,90.4761904761905,79.746835443038,70.5479452054795,80.5803571428572,78.0045351473923,44.7761194029851,100,77.1276595744681,100,29.2504119606923,96.0945273631841,75,88.0014199503017,0
"56","Denmark",100,99.9133427418356,88.0952380952381,97.9746835443038,95.4337899543379,96.4285714285714,97.7324263038549,100,100,98.4042553191489,58.9211618257261,15.5552749010693,94.8756218905473,75,89.8828541001065,0
"57","Djibouti",100,99.8663002302607,62.6190476190476,18.9873417721519,23.5159817351598,43.9732142857143,38.0952380952381,29.1044776119403,91.8367346938775,18.0851063829787,NA,1.22994322760678,62.3383084577114,25,65.0337238196663,12.5
"59","Dominican Republic",100,98.4872118646166,70,57.4683544303797,39.2694063926941,53.7946428571429,43.3106575963719,18.9054726368159,80.6122448979592,55.8510638297872,49.6542185338866,43.0952982354851,48.1094527363184,50,59.460418885339,0
"60","Ecuador",100,95.7686498799178,60.7142857142857,48.1012658227848,39.2694063926941,35.2678571428571,33.7868480725624,24.8756218905473,89.7959183673469,39.3617021276596,51.5905947441217,42.3243002682255,45.8955223880597,25,73.1984380546681,0
"61","Egypt",100,96.3381118621407,26.9047619047619,29.1139240506329,30.1369863013699,40.625,41.7233560090703,25.1243781094527,98.9795918367347,40.9574468085106,34.716459197787,41.1666005123949,85.2487562189055,50,92.1547745828896,0
"62","El Salvador",100,92.1265691153532,64.5238095238095,54.1772151898734,47.4885844748858,63.1696428571429,39.9092970521542,31.3432835820896,98.9795918367347,42.5531914893617,64.8686030428769,24.3219187144421,57.7611940298507,25,39.5101171458999,0
"63","Equatorial Guinea",100,99.7796429720964,67.3809523809524,5.82278481012658,14.1552511415525,24.1071428571429,25.3968253968254,0,53.0612244897959,12.7659574468085,NA,61.3791361454913,NA,0,83.564075257366,25
"64","Eritrea",100,99.3191215429944,46.9047619047619,1.0126582278481,15.296803652968,6.47321428571429,23.8095238095238,20.3980099502488,NA,0,NA,23.2688629884892,NA,25,78.0617678381257,37.5
"65","Estonia",100,99.9207705068212,82.8571428571428,83.0379746835443,72.8310502283105,88.1696428571428,81.6326530612245,67.6616915422886,100,91.4893617021277,64.3153526970954,35.1249112931356,80.4228855721393,75,91.6577919772808,0
"66","Ethiopia",99.6791490857946,81.8242590804427,32.3809523809524,22.7848101265823,38.5844748858447,31.0267857142857,41.2698412698413,27.6119402985075,5.10204081632653,30.3191489361702,NA,76.3714983341151,78.1592039800995,0,73.411430599929,12.5
"69","Fiji",100,99.9504815667632,64.7619047619048,34.9367088607595,28.5388127853881,43.5267857142857,36.281179138322,30.0995024875622,NA,57.4468085106383,71.2309820193638,24.0164062593969,55.1990049751244,50,51.8281860134895,12.5
"70","Finland",100,99.8390650919805,97.8571428571429,95.4430379746835,100,97.5446428571428,99.0929705215419,94.5273631840796,100,95.7446808510638,56.4315352697095,19.8390646988778,92.6119402985075,100,92.332268370607,0
"71","France",100,98.8264131322885,75.4761904761905,85.8227848101266,84.0182648401827,81.9196428571428,87.0748299319728,72.3880597014925,100,84.0425531914894,49.2392807745505,18.9826675807984,82.910447761194,100,90.7348242811502,0
"72","French Guiana",100,NA,70.7142857142857,84.0506329113924,74.8858447488584,85.2678571428571,81.1791383219955,68.1592039800995,NA,NA,NA,NA,NA,25,NA,87.5
"74","Gabon",100,99.7647874421253,73.5714285714286,33.6708860759494,32.8767123287671,43.75,43.5374149659864,26.1194029850746,89.7959183673469,23.936170212766,47.8561549100968,18.9279399559773,56.7910447761194,25,78.0617678381257,0
"75","Gambia",100,99.7004134789175,64.2857142857143,23.7974683544304,34.0182648401827,47.9910714285714,41.9501133786848,22.636815920398,52.0408163265306,27.1276595744681,12.1715076071923,32.398753894081,44.1293532338308,25,56.8690095846645,0
"76","Georgia",100,99.8489687786278,54.5238095238095,57.9746835443038,62.5570776255708,72.7678571428571,54.875283446712,49.0049751243781,100,92.5531914893617,NA,53.6799817173649,58.8805970149254,50,76.1448349307774,12.5
"77","Germany",100,98.8140335239793,87.6190476190476,91.1392405063291,85.1598173515982,90.8482142857143,92.0634920634921,84.3283582089552,100,93.0851063829787,48.4094052558783,19.5660279772429,85.547263681592,100,89.5988640397586,0
"78","Ghana",100,97.3804748817747,65.9523809523809,65.8227848101266,48.4018264840183,58.0357142857143,57.8231292517007,38.3084577114428,62.2448979591837,63.2978723404255,37.6210235131397,58.6992867366699,55.3731343283582,25,69.1515796947107,0
"80","Greece",100,99.7326004605214,60.7142857142857,71.8987341772152,60.7305936073059,70.0892857142857,65.3061224489796,37.3134328358209,100,68.0851063829787,61.134163208852,9.08298151288805,75.3233830845771,75,75.0798722044728,0
"85","Guatemala",100,86.1026517120998,49.047619047619,45.3164556962025,34.2465753424658,51.5625,30.1587301587302,25.6218905472637,96.9387755102041,61.7021276595745,31.6735822959889,34.7742936527983,31.5174129353234,25,26.8725594604189,0
"87","Guinea",100,98.3089455049642,36.1904761904762,28.6075949367089,20.3196347031963,33.7053571428571,23.1292517006803,13.681592039801,57.1428571428571,10.6382978723404,NA,30.3563911040547,77.9601990049751,0,70.0035498757544,12.5
"88","Guinea-Bissau",100,99.7722152071108,43.3333333333333,19.746835443038,17.5799086757991,27.2321428571429,18.59410430839,6.96517412935323,22.4489795918367,5.31914893617021,NA,32.4703207880778,73.3830845771144,0,51.4731984380547,12.5
"89","Guyana",100,99.7400282255069,55,55.1898734177215,46.8036529680365,42.4107142857143,43.5374149659864,24.1293532338308,87.7551020408163,35.1063829787234,54.4951590594744,31.203165782605,50.9452736318408,25,58.359957401491,0
"90","Haiti",100,94.5727797172497,49.7619047619048,35.4430379746835,15.5251141552511,35.0446428571429,25.8503401360544,11.4427860696517,79.5918367346939,4.78723404255319,26.5560165975104,21.0905832401159,14.452736318408,0,57.6854810081647,0
"92","Honduras",100,96.0855678526331,54.2857142857143,42.5316455696203,33.5616438356164,51.7857142857143,27.437641723356,16.4179104477612,93.8775510204082,45.2127659574468,43.7067773167358,39.1362657717798,18.955223880597,25,61.945331913383,0
"94","Hungary",100,99.7524078338161,84.0476190476191,73.9240506329114,65.0684931506849,76.1160714285714,68.0272108843537,47.2636815920398,100,71.8085106382979,87.9668049792531,19.5431746833616,89.7512437810945,75,80.9016684416045,0
"95","Iceland",100,100,95.4761904761905,92.4050632911392,84.2465753424658,80.5803571428572,92.7437641723356,87.3134328358209,100,94.1489361702128,62.1023513139696,27.5430303467687,96.318407960199,100,94.7461838835641,0
"96","India",98.2638888888889,0,37.1428571428571,65.8227848101266,46.1187214611872,45.7589285714286,53.0612244897959,26.1194029850746,83.6734693877551,25,27.2475795297372,60.5131165878829,78.1550239565055,25,75.2928647497338,0
"97","Indonesia",100,93.7210626655773,53.5714285714286,55.4430379746835,44.9771689497717,51.7857142857143,42.8571428571429,24.6268656716418,66.3265306122449,39.8936170212766,52.1438450899032,49.5820252829599,66.8639564686821,25,62.8328008519702,0
"98","Iran, Islamic Republic of",100,94.951595731511,35.2380952380952,14.9367088607595,34.4748858447489,22.7678571428571,33.1065759637188,23.134328358209,98.9795918367347,31.3829787234042,41.3554633471646,33.3098786369814,66.5174129353234,50,82.9605963791267,0
"99","Iraq",91.7809423347398,96.0583327143529,18.0952380952381,27.5949367088608,25.7990867579909,28.125,21.9954648526077,8.95522388059702,98.9795918367347,17.5531914893617,40.1106500691563,90.1381421474879,88.2587064676617,25,83.1025914093007,0
"100","Ireland",100,99.9207705068212,86.4285714285714,88.6075949367088,83.7899543378995,91.5178571428571,94.3310657596372,78.3582089552239,100,93.6170212765958,73.582295988935,22.0618482300725,81.9900497512438,100,84.2385516506922,0
"102","Israel",100,99.7771670504345,39.5238095238095,71.3924050632911,78.310502283105,82.1428571428571,76.8707482993197,60.9452736318408,100,79.2553191489362,69.8478561549101,38.3712818292258,55.3233830845771,100,91.8352857649982,0
"103","Italy",100,99.0665775334868,77.6190476190476,78.9873417721519,60.7305936073059,73.4375,63.4920634920635,39.0547263681592,100,70.7446808510638,46.4730290456432,10.5209348200002,73.3830845771144,100,84.3805466808662,0
"104","Jamaica",100,98.9155463121147,69.7619047619048,68.1012658227848,50,61.3839285714286,46.485260770975,30.8457711442786,97.9591836734694,69.6808510638298,57.2614107883817,15.238937201554,48.5323383084577,50,56.975505857295,0
"105","Japan",100,99.0938126717671,88.8095238095238,83.2911392405063,86.7579908675799,80.8035714285714,87.3015873015873,81.0945273631841,100,85.1063829787234,63.3471645919779,17.7660303828528,81.865671641791,100,52.7866524671637,0
"107","Jordan",100,99.3636881329075,50.7142857142857,34.6835443037975,47.9452054794521,58.7053571428571,64.172335600907,42.2885572139304,98.9795918367347,38.2978723404255,57.3997233748271,48.1109948399668,77.9353233830846,50,83.4220802271921,0
"108","Kazakhstan",100,98.12820322365,56.4285714285714,24.5569620253165,38.1278538812785,47.7678571428571,40.1360544217687,17.6616915422886,100,59.5744680851064,36.5145228215768,59.0553169992422,90.6965174129353,25,87.0074547390841,0
"109","Kenya",100,95.9097774146426,38.0952380952381,49.3670886075949,39.2694063926941,48.4375,38.5487528344671,13.681592039801,59.1836734693878,28.1914893617021,43.4301521438451,44.4009429990738,43.1343283582089,25,75.4348597799077,0
"110","Kiribati",100,NA,96.9047619047619,76.2025316455696,31.0502283105023,25.4464285714286,58.5034013605442,39.0547263681592,93.8775510204082,29.2553191489362,NA,21.438795270571,NA,25,94.1782037628683,37.5
"111","Korea, Democratic People's Republic of",100,98.0118349055436,52.8571428571428,0,6.39269406392694,0,26.0770975056689,6.21890547263682,100,NA,NA,NA,NA,0,NA,62.5
"112","Korea, Republic of",100,99.1111441233999,71.1904761904762,72.9113924050633,76.027397260274,78.125,76.6439909297052,53.7313432835821,NA,97.8723404255319,61.4107883817427,36.7282502796521,NA,75,83.2445864394746,25
"113","Kosovo",100,NA,42.1428571428571,48.6075949367089,41.0958904109589,55.3571428571429,42.4036281179138,24.1293532338308,NA,60.6382978723404,NA,39.2469238263631,NA,NA,NA,75
"114","Kuwait",100,99.9554334100869,68.8095238095238,38.9873417721519,48.8584474885845,54.2410714285714,64.172335600907,36.318407960199,NA,54.7872340425532,24.0663900414938,49.6126968089585,NA,75,88.4274050408236,25
